,macro,iteration,value,n,n_cumsum,cost_cumsum
91,5,6,1.9241821765899658,5.0,30.0,21.999998092651367
92,5,7,1.9158313274383545,5.0,35.0,25.499998092651367
93,5,8,1.9217350482940674,5.0,40.0,28.999998092651367
94,5,9,1.9449377059936523,5.0,45.0,32.499996185302734
95,5,10,1.927767038345337,5.0,50.0,35.999996185302734
96,5,11,1.940713882446289,5.0,55.0,39.499996185302734
97,5,12,1.9333133697509766,5.0,60.0,42.999996185302734
98,5,13,1.9326231479644775,5.0,65.0,46.499996185302734
99,5,14,1.938834309577942,5.0,70.0,49.999996185302734
100,5,15,1.9378211498260498,5.0,75.0,53.499996185302734
101,5,16,1.9345285892486572,5.0,80.0,56.999996185302734
102,6,0,1.9109928607940674,0.0,0.0,0.0
103,6,1,1.9288747310638428,5.0,5.0,4.5
104,6,2,1.8797872066497803,5.0,10.0,7.999999523162842
