,macro,iteration,value,n,n_cumsum,cost_cumsum
149,3,26,1.9487407207489014,2.0,52.0,53.0
150,3,27,1.9446510076522827,2.0,54.0,55.0
151,3,28,1.9481751918792725,2.0,56.0,57.0
152,3,29,1.9431767463684082,2.0,58.0,59.0
153,3,30,1.9549994468688965,2.0,60.0,61.0
154,3,31,1.9546785354614258,2.0,62.0,63.0
155,3,32,1.9550156593322754,2.0,64.0,65.0
156,3,33,1.9550065994262695,2.0,66.0,67.0
157,3,34,1.9549598693847656,2.0,68.0,69.0
158,3,35,1.9548494815826416,2.0,70.0,71.0
159,3,36,1.9514189958572388,2.0,72.0,73.0
160,3,37,1.9533913135528564,2.0,74.0,75.0
161,3,38,1.9519340991973877,2.0,76.0,77.0
162,3,39,1.9528660774230957,2.0,78.0,79.0
163,3,40,1.9532551765441895,2.0,80.0,81.0
164,4,0,1.0452197790145874,0.0,0.0,0.0
165,4,1,1.0412050485610962,2.0,2.0,3.0
166,4,2,1.0319255590438843,2.0,4.0,5.0
167,4,3,1.0351840257644653,2.0,6.0,7.0
168,4,4,1.0280555486679077,2.0,8.0,9.0
169,4,5,1.030901312828064,2.0,10.0,11.0
170,4,6,1.0307929515838623,2.0,12.0,13.0
171,4,7,1.9463462829589844,2.0,14.0,15.0
172,4,8,1.952138900756836,2.0,16.0,17.0
173,4,9,1.928053855895996,2.0,18.0,19.0
174,4,10,1.952601432800293,2.0,20.0,21.0
175,4,11,1.9545222520828247,2.0,22.0,23.0
176,4,12,1.949563980102539,2.0,24.0,25.0
177,4,13,1.9543163776397705,2.0,26.0,27.0
178,4,14,1.9469666481018066,2.0,28.0,29.0
179,4,15,1.9377171993255615,2.0,30.0,31.0
180,4,16,1.9422500133514404,2.0,32.0,33.0
181,4,17,1.9483284950256348,2.0,34.0,35.0
182,4,18,1.9495348930358887,2.0,36.0,37.0
183,4,19,1.9481682777404785,2.0,38.0,39.0
184,4,20,1.947009563446045,2.0,40.0,41.0
185,4,21,1.9456534385681152,2.0,42.0,43.0
186,4,22,1.9369527101516724,2.0,44.0,45.0
187,4,23,1.9387989044189453,2.0,46.0,47.0
188,4,24,1.9445252418518066,2.0,48.0,49.0
189,4,25,1.9409465789794922,2.0,50.0,51.0
190,4,26,1.9508028030395508,2.0,52.0,53.0
191,4,27,1.950556993484497,2.0,54.0,55.0
192,4,28,1.9460792541503906,2.0,56.0,57.0
193,4,29,1.9489290714263916,2.0,58.0,59.0
194,4,30,1.941011905670166,2.0,60.0,61.0
195,4,31,1.9510000944137573,2.0,62.0,63.0
196,4,32,1.9521229267120361,2.0,64.0,65.0
197,4,33,1.9548656940460205,2.0,66.0,67.0
198,4,34,1.9543492794036865,2.0,68.0,69.0
199,4,35,1.9547767639160156,2.0,70.0,71.0
200,4,36,1.9542815685272217,2.0,72.0,73.0
201,4,37,1.954923391342163,2.0,74.0,75.0
202,4,38,1.953240156173706,2.0,76.0,77.0
203,4,39,1.9517700672149658,2.0,78.0,79.0
204,4,40,1.9545493125915527,2.0,80.0,81.0
205,5,0,1.9474616050720215,0.0,0.0,0.0
206,5,1,1.8958430290222168,2.0,2.0,3.0
207,5,2,1.9481841325759888,2.0,4.0,5.0
208,5,3,1.9361599683761597,2.0,6.0,7.0
209,5,4,1.9398620128631592,2.0,8.0,9.0
210,5,5,1.942502498626709,2.0,10.0,11.0
211,5,6,1.9528645277023315,2.0,12.0,13.0
212,5,7,1.9535328149795532,2.0,14.0,15.0
213,5,8,1.949105978012085,2.0,16.0,17.0
214,5,9,1.9549800157546997,2.0,18.0,19.0
215,5,10,1.952569603919983,2.0,20.0,21.0
216,5,11,1.9530929327011108,2.0,22.0,23.0
217,5,12,1.9531700611114502,2.0,24.0,25.0
218,5,13,1.948007345199585,2.0,26.0,27.0
219,5,14,1.941455602645874,2.0,28.0,29.0
220,5,15,1.9418885707855225,2.0,30.0,31.0
221,5,16,1.9409890174865723,2.0,32.0,33.0
222,5,17,1.9416217803955078,2.0,34.0,35.0
223,5,18,1.941575527191162,2.0,36.0,37.0
224,5,19,1.9414284229278564,2.0,38.0,39.0
225,5,20,1.9397923946380615,2.0,40.0,41.0
226,5,21,1.9342824220657349,2.0,42.0,43.0
227,5,22,1.9404511451721191,2.0,44.0,45.0
228,5,23,1.929726004600525,2.0,46.0,47.0
229,5,24,1.9444124698638916,2.0,48.0,49.0
230,5,25,1.944319248199463,2.0,50.0,51.0
231,5,26,1.9446029663085938,2.0,52.0,53.0
232,5,27,1.9463798999786377,2.0,54.0,55.0
233,5,28,1.9421045780181885,2.0,56.0,57.0
234,5,29,1.9401439428329468,2.0,58.0,59.0
235,5,30,1.9481289386749268,2.0,60.0,61.0
236,5,31,1.9488328695297241,2.0,62.0,63.0
237,5,32,1.9512174129486084,2.0,64.0,65.0
238,5,33,1.9502331018447876,2.0,66.0,67.0
239,5,34,1.9487264156341553,2.0,68.0,69.0
240,5,35,1.9491910934448242,2.0,70.0,71.0
241,5,36,1.950146198272705,2.0,72.0,73.0
242,5,37,1.9504420757293701,2.0,74.0,75.0
243,5,38,1.9485840797424316,2.0,76.0,77.0
244,5,39,1.9475388526916504,2.0,78.0,79.0
245,5,40,1.9521656036376953,2.0,80.0,81.0
246,6,0,1.8910338878631592,0.0,0.0,0.0
247,6,1,1.913817048072815,2.0,2.0,3.0
248,6,2,1.9521338939666748,2.0,4.0,5.0
249,6,3,1.954199194908142,2.0,6.0,7.0
250,6,4,1.9548428058624268,2.0,8.0,9.0
251,6,5,1.9544330835342407,2.0,10.0,11.0
252,6,6,1.9413396120071411,2.0,12.0,13.0
253,6,7,1.9340178966522217,2.0,14.0,15.0
254,6,8,1.9465209245681763,2.0,16.0,17.0
255,6,9,1.9484726190567017,2.0,18.0,19.0
256,6,10,1.9494487047195435,2.0,20.0,21.0
257,6,11,1.949136734008789,2.0,22.0,23.0
258,6,12,1.9449816942214966,2.0,24.0,25.0
259,6,13,1.9433947801589966,2.0,26.0,27.0
260,6,14,1.9446070194244385,2.0,28.0,29.0
261,6,15,1.9454991817474365,2.0,30.0,31.0
262,6,16,1.9390017986297607,2.0,32.0,33.0
263,6,17,1.9253724813461304,2.0,34.0,35.0
264,6,18,1.9360650777816772,2.0,36.0,37.0
265,6,19,1.92622709274292,2.0,38.0,39.0
266,6,20,1.923601746559143,2.0,40.0,41.0
267,6,21,1.9242143630981445,2.0,42.0,43.0
268,6,22,1.9207850694656372,2.0,44.0,45.0
269,6,23,1.9098858833312988,2.0,46.0,47.0
270,6,24,1.9016032218933105,2.0,48.0,49.0
271,6,25,1.9156187772750854,2.0,50.0,51.0
272,6,26,1.9057097434997559,2.0,52.0,53.0
273,6,27,1.912168025970459,2.0,54.0,55.0
274,6,28,1.9150147438049316,2.0,56.0,57.0
275,6,29,1.9053716659545898,2.0,58.0,59.0
276,6,30,1.9041091203689575,2.0,60.0,61.0
277,6,31,1.9224357604980469,2.0,62.0,63.0
278,6,32,1.915461778640747,2.0,64.0,65.0
279,6,33,1.9232549667358398,2.0,66.0,67.0
280,6,34,1.9139916896820068,2.0,68.0,69.0
281,6,35,1.9168598651885986,2.0,70.0,71.0
282,6,36,1.9146851301193237,2.0,72.0,73.0
283,6,37,1.8994804620742798,2.0,74.0,75.0
284,6,38,1.9039735794067383,2.0,76.0,77.0
285,6,39,1.8986250162124634,2.0,78.0,79.0
286,6,40,1.9032261371612549,2.0,80.0,81.0
287,7,0,1.9349024295806885,0.0,0.0,0.0
288,7,1,1.8823230266571045,2.0,2.0,3.0
289,7,2,1.8169445991516113,2.0,4.0,5.0
