,macro,iteration,value,n,n_cumsum,cost_cumsum
186,11,10,1.9278700351715088,4.0,37.0,29.5
187,11,11,1.9342507123947144,7.0,44.0,34.0
188,11,12,1.9384551048278809,4.0,48.0,37.0
189,11,13,1.943481206893921,6.0,54.0,41.0
190,11,14,1.9478040933609009,7.0,61.0,45.5
191,11,15,1.9494779109954834,7.0,68.0,50.0
192,12,0,1.881748914718628,0.0,0.0,0.0
193,12,1,1.8835519552230835,2.0,2.0,3.0
194,12,2,1.9545336961746216,3.0,5.0,5.5
195,12,3,1.95463228225708,4.0,9.0,8.5
196,12,4,1.9525202512741089,4.0,13.0,11.5
197,12,5,1.9448091983795166,6.0,19.0,15.5
198,12,6,1.9485975503921509,7.0,26.0,20.0
199,12,7,1.952406644821167,6.0,32.0,24.0
200,12,8,1.951395869255066,8.0,40.0,29.0
201,12,9,1.9541301727294922,6.0,46.0,33.0
202,12,10,1.9535585641860962,6.0,52.0,37.0
203,12,11,1.9537513256072998,11.0,63.0,43.5
204,12,12,1.947896957397461,9.0,72.0,49.0
205,12,13,1.952946662902832,11.0,83.0,55.5
206,12,14,1.9550118446350098,12.0,95.0,62.5
207,12,15,1.954261064529419,10.0,105.0,68.5
208,13,0,1.68276846408844,0.0,0.0,0.0
209,13,1,1.692362666130066,2.0,2.0,3.0
210,13,2,1.7098122835159302,4.0,6.0,6.0
211,13,3,1.8782434463500977,4.0,10.0,9.0
212,13,4,1.9464359283447266,5.0,15.0,12.5
213,13,5,1.9514403343200684,5.0,20.0,16.0
214,13,6,1.954866886138916,2.0,22.0,18.0
215,13,7,1.9507739543914795,4.0,26.0,21.0
216,13,8,1.9493169784545898,6.0,32.0,25.0
217,13,9,1.9493310451507568,1.0,33.0,26.5
218,13,10,1.9485732316970825,5.0,38.0,30.0
219,13,11,1.9540894031524658,2.0,40.0,32.0
220,13,12,1.953744888305664,2.0,42.0,34.0
221,13,13,1.954460859298706,2.0,44.0,36.0
222,13,14,1.9529671669006348,2.0,46.0,38.0
223,13,15,1.954927682876587,2.0,48.0,40.0
224,14,0,1.891963243484497,0.0,0.0,0.0
225,14,1,1.8778254985809326,4.0,4.0,4.0
226,14,2,1.900099515914917,4.0,8.0,7.0
227,14,3,1.9545817375183105,4.0,12.0,10.0
228,14,4,1.947561264038086,4.0,16.0,13.0
229,14,5,1.953608751296997,5.0,21.0,16.5
230,14,6,1.9444434642791748,5.0,26.0,20.0
231,14,7,1.9549903869628906,7.0,33.0,24.5
232,14,8,1.9507122039794922,8.0,41.0,29.5
233,14,9,1.953592300415039,6.0,47.0,33.5
234,14,10,1.9539110660552979,5.0,52.0,37.0
235,14,11,1.9529253244400024,10.0,62.0,43.0
236,14,12,1.954404354095459,11.0,73.0,49.5
237,14,13,1.9518314599990845,9.0,82.0,55.0
238,14,14,1.9436993598937988,8.0,90.0,60.0
239,14,15,1.9504344463348389,12.0,102.0,67.0
240,15,0,1.9464329481124878,0.0,0.0,0.0
241,15,1,1.9382061958312988,5.0,5.0,4.5
242,15,2,1.9446890354156494,5.0,10.0,7.999999523162842
243,15,3,1.9545366764068604,5.0,15.0,11.499999046325684
244,15,4,1.954643964767456,7.0,22.0,15.999999046325684
245,15,5,1.9550161361694336,5.0,27.0,19.5
246,15,6,1.954969882965088,8.0,35.0,24.5
247,15,7,1.9206082820892334,8.0,43.0,29.5
248,15,8,1.9379299879074097,10.0,53.0,35.5
249,15,9,1.924776315689087,10.0,63.0,41.5
250,15,10,1.9330134391784668,10.0,73.0,47.5
251,15,11,1.9363269805908203,8.0,81.0,52.5
252,15,12,1.9316669702529907,10.0,91.0,58.5
253,15,13,1.9372923374176025,10.0,101.0,64.5
254,15,14,1.9459102153778076,14.0,115.0,72.5
255,15,15,1.9483540058135986,13.0,128.0,80.0
256,16,0,1.8427201509475708,0.0,0.0,0.0
257,16,1,1.9360790252685547,3.0,3.0,3.5
258,16,2,1.9546054601669312,3.0,6.0,6.0
259,16,3,1.9550106525421143,3.0,9.0,8.5
260,16,4,1.9548511505126953,4.0,13.0,11.5
261,16,5,1.9548792839050293,2.0,15.0,13.5
262,16,6,1.954805850982666,6.0,21.0,17.5
263,16,7,1.9421401023864746,5.0,26.0,21.0
264,16,8,1.940916895866394,7.0,33.0,25.5
265,16,9,1.9514533281326294,6.0,39.0,29.5
266,16,10,1.9488072395324707,6.0,45.0,33.5
267,16,11,1.9529997110366821,6.0,51.0,37.5
268,16,12,1.9541279077529907,5.0,56.0,41.0
269,16,13,1.9543297290802002,6.0,62.0,45.0
270,16,14,1.9549715518951416,10.0,72.0,51.0
271,16,15,1.9541566371917725,10.0,82.0,57.0
272,17,0,1.786086082458496,0.0,0.0,0.0
273,17,1,1.9087060689926147,3.0,3.0,3.5
274,17,2,1.952247142791748,4.0,7.0,6.5
275,17,3,1.9536609649658203,5.0,12.0,10.0
276,17,4,1.9549357891082764,6.0,18.0,14.0
277,17,5,1.9508254528045654,5.0,23.0,17.5
278,17,6,1.9524857997894287,4.0,27.0,20.5
279,17,7,1.9486782550811768,8.0,35.0,25.5
280,17,8,1.9411462545394897,6.0,41.0,29.5
281,17,9,1.931933045387268,6.0,47.0,33.5
282,17,10,1.9336999654769897,10.0,57.0,39.5
283,17,11,1.9543280601501465,7.0,64.0,44.0
284,17,12,1.9480960369110107,12.0,76.0,51.0
285,17,13,1.9536058902740479,10.0,86.0,57.0
286,17,14,1.953322172164917,11.0,97.0,63.5
287,17,15,1.9440929889678955,13.0,110.0,71.0
288,18,0,1.9550082683563232,0.0,0.0,0.0
289,18,1,1.9470956325531006,3.0,3.0,3.5
290,18,2,1.9199249744415283,4.0,7.0,6.5
291,18,3,1.9075756072998047,5.0,12.0,10.0
292,18,4,1.9550094604492188,5.0,17.0,13.5
293,18,5,1.954601764678955,4.0,21.0,16.5
294,18,6,1.9545732736587524,2.0,23.0,18.5
295,18,7,1.9533276557922363,7.0,30.0,23.0
296,18,8,1.9452900886535645,5.0,35.0,26.5
297,18,9,1.9417582750320435,6.0,41.0,30.5
298,18,10,1.9418009519577026,3.0,44.0,33.0
299,18,11,1.9418323040008545,3.0,47.0,35.5
300,18,12,1.9503655433654785,8.0,55.0,40.5
301,18,13,1.9535179138183594,10.0,65.0,46.5
302,18,14,1.9426863193511963,8.0,73.0,51.5
